observat,dist_cod,county,district,testscr,read_scr,math_scr,str,avginc,meal_pct,enrl_tot,teachers,calw_pct,computer,comp_stu,expn_stu,el_pct
33,64816,Los Angeles,Mountain View Elementary,625.3,620.8,629.8,21.53581,8.126616,91.5934,10012,464.9,29.7639,721,0.0720136,5036.459,65.12186
34,66050,Monterey,King City Union Elementary,625.85,626.1,625.6,19.904,11.431,55.093,2488,125,12.692,202,0.0811897,5117.142,53.4164
35,67819,San Bernardino,Ontario-Montclair Elementary,626.1,625.4,626.8,21.19407,11.72223,80.1956,25151,1186.7,17.4426,1713,0.0681086,5117.04,49.82307
36,64758,Los Angeles,Los Nietos Elementary,626.8,625.4,628.2,21.86535,11.3325,84.4338,2267,103.68,19.1517,177,0.0780768,5272.192,35.46537
37,65870,Merced,Winton Elementary,626.9,623.6,630.2,18.32965,9.598,84.7314,1657,90.4,28.8473,204,0.1231141,5225.719,56.12553
38,62380,Fresno,Raisin City Elementary,627.1,628.9,625.3,16.22857,14.558,94.9324,284,17.5,14.527,18,0.0633803,6516.533,32.39437
39,68999,San Mateo,Ravenswood City Elementary,627.25,624.4,630.1,19.17857,22.06,81.1173,5370,280,19.5717,562,0.1046555,4559.177,65.5121
40,63578,Kern,Richland-Lerdo Union Elementary,627.3,627.5,627.1,20.27737,9.709,87.7782,2471,121.86,23.796,275,0.111291,5119.158,53.05544
41,72538,Ventura,Oxnard Elementary,628.25,627.8,628.7,22.98614,11.48294,71.4331,15386,669.36,12.5064,1762,0.1145197,5338.186,49.64253
42,65680,Merced,El Nido Elementary,628.4,621.6,635.2,20.44444,8.178,85.8696,184,9,22.2826,40,0.2173913,5090.045,45.1087
43,63461,Kern,Fairfax Elementary,628.55,629.4,627.7,19.82085,8.174,88.0952,1217,61.4,33.908,78,0.064092,5485.496,30.32046
44,63404,Kern,Delano Union Elementary,628.65,621.1,636.2,23.20522,7.5,100,6219,268,21.4986,571,0.0918154,4793.37,52.24313
45,67199,Riverside,Perris Elementary,628.75,626.5,631,19.26697,10.0505,92.7431,4258,221,24.6595,324,0.0760921,5092.917,36.80132
46,65078,Los Angeles,Valle Lindo Elementary,629.8,630.2,629.4,23.30189,7.332,62.1302,1235,53,8.2183,175,0.1417004,4359.521,30.2834
47,69369,Santa Clara,Alum Rock Union Elementary,630.35,629.5,631.2,21.18829,12.58158,69.7399,16244,766.65,17.4531,1423,0.0876016,5645.496,49.86457
48,63438,Kern,Edison Elementary,630.4,631.9,628.9,20.8718,15.177,67.4447,814,39,19.7789,85,0.1044226,4518.016,13.75921
49,63321,Kern,Bakersfield City Elementary,630.55,631.6,629.5,19.01749,12.10913,84.295,27176,1429,39.2184,3324,0.1223138,5864.366,28.8637
50,69450,Santa Clara,Franklin-McKinley Elementary,630.55,628.5,632.6,21.91938,11.785,70.8957,10696,487.97,22.1578,1306,0.1221017,5257.997,52.80479
51,64592,Los Angeles,Hawthorne Elementary,631.05,628.4,633.7,20.10124,14.062,79.512,8935,444.5,36.9451,786,0.0879687,5016.692,44.08506
52,65193,Madera,Chowchilla Elementary,631.4,635.7,627.1,21.47651,10.472,79.7255,1600,74.5,27.2614,242,0.15125,4720.086,35.25
53,66142,Monterey,Salinas City Elementary,631.85,633,630.7,20.06579,13.40512,69.9425,9028,449.92,13.9885,669,0.0741028,5470.563,37.49446
54,69120,Santa Barbara,Santa Maria-Bonita Elementary,631.9,629.6,634.2,20.3751,12.3018,77.5256,10625,521.47,7.4975,896,0.0843294,5615.442,50.39059
55,65110,Los Angeles,Whittier City Elementary,631.95,634.2,629.7,22.44648,15.40407,61.7382,7151,318.58,18.5481,560,0.0783107,5245.44,31.07258
56,64477,Los Angeles,Eastside Union Elementary,632,633.5,630.5,22.89524,13.762,52.9435,2404,105,20.9274,202,0.0840266,4838.175,18.26123
57,64691,Los Angeles,Lawndale Elementary,632.2,631.4,633,20.49797,14.184,81.1165,5804,283.15,28.3425,480,0.0827016,5367.988,34.70021
58,67421,Sacramento,Robla Elementary,632.25,637.5,627,20,8.865,84.5539,2253,112.65,43.4976,196,0.0869951,5526.237,33.28895
59,66191,Monterey,Santa Rita Union Elementary,632.45,637.3,627.6,22.25658,12.997,52.3964,2807,126.12,15.4595,152,0.0541503,4353.02,33.48771
60,72561,Ventura,Rio Elementary,632.85,633.2,632.5,21.56436,11.592,66.1949,3074,142.55,11.2898,249,0.081002,5034.29,38.15875
61,72157,Tulare,Strathmore Union Elementary,632.95,629.2,636.7,19.47737,8.279,83.1579,723,37.12,25.9211,45,0.0622407,4692.494,36.92946
62,67397,Sacramento,North Sacramento Elementary,633.05,630.3,635.8,17.67002,10.90564,84.999,5138,290.775,58.7522,560,0.1089918,5606.782,32.98949
63,66423,Orange,Anaheim Elementary,633.15,629.6,636.7,21.94756,13.40063,82.3926,20927,953.5,10.9114,1048,0.0500788,4969.181,58.21666
64,63974,Kings,Lemoore Union Elementary,633.65,634.4,632.9,21.78339,11.081,56.0636,3017,138.5,14.9768,496,0.1644017,4675.675,17.00365
65,63875,Kings,Armona Union Elementary,633.9,634.7,633.1,19.14,9.082,82.1317,957,50,27.1682,149,0.1556949,5306.133,17.65935
66,63339,Kern,Beardsley Elementary,634,638.4,629.6,18.1105,13.39,80.6042,1639,90.5,46.8882,287,0.1751068,5693.883,7.321537
67,65037,Los Angeles,South Whittier Elementary,634.05,631.9,636.2,20.68242,14.60163,93.9227,4340,209.84,17.7026,284,0.0654378,5181.58,31.19816
68,63917,Kings,Hanford Elementary,634.1,637.7,630.5,22.62361,11.116,63.8036,5079,224.5,25.5593,585,0.1151802,5228.651,16.61744
69,68221,San Diego,National Elementary,634.1,631.5,636.7,21.7865,8.423,100,6639,304.73,26.8414,505,0.0760657,5339.391,58.08104
70,70904,Sonoma,Roseland Elementary,634.15,636.8,631.5,18.58293,11.665,84.9206,1154,62.1,22.9277,129,0.1117851,6056.497,55.89254
71,63420,Kern,Di Giorgio Elementary,634.2,631.8,636.6,21.54545,7.305,76.7932,237,11,19.8312,13,0.0548523,4845.68,5.485232
72,64642,Los Angeles,Keppel Union Elementary,634.4,637.7,631.1,21.15289,13.7306,68.3964,2987,141.21,21.2588,273,0.091396,4826.666,14.42919
73,63966,Kings,Lakeside Union Elementary,634.55,635.5,633.6,16.63333,11.116,83.1193,499,30,40.367,94,0.1883768,5367.09,22.84569
74,65771,Merced,Merced City Elementary,634.7,633.2,636.2,21.14438,10.36443,77.0089,11474,542.65,40.5526,1248,0.1087677,5742.733,38.78334
75,69203,Santa Barbara,Guadalupe Union Elementary,634.9,631.1,638.7,19.78182,6.983,86.0294,1088,55,14.1544,107,0.0983456,4136.251,64.24632
76,67694,San Bernardino,Cucamonga Elementary,634.95,637.8,632.1,18.98373,14.4678,74.851,2660,140.12,15.7601,259,0.0973684,5267.831,25.22556
77,61705,Contra Costa,Knightsen Elementary,635.05,636.6,633.5,17.66767,14.653,33.0623,353,19.98,8.6721,8,0.0226629,5238.392,5.382436
78,63008,Humboldt,Rio Dell Elementary,635.2,644.3,626.1,17.75499,10.629,85.5422,329,18.53,28.9157,37,0.112462,5462.899,6.079028
79,70417,Siskiyou,Montague Elementary,635.45,640.9,630,15.27273,9.781,66.2551,252,16.5,23.4568,32,0.1269841,6313.374,0
80,70409,Siskiyou,McCloud Union Elementary,635.6,634.6,636.6,14,10.656,68.8235,175,12.5,21.7647,31,0.1771429,6653.031,0
81,72587,Ventura,Santa Paula Elementary,635.6,633,638.2,20.59613,11.938,72.8628,3835,186.2,13.9911,897,0.2338983,5533.149,34.88918
82,62539,Fresno,West Park Elementary,635.75,636.7,634.8,16.31169,7.385,93.6306,314,19.25,29.9363,8,0.0254777,6118.71,13.05732
83,65631,Merced,Atwater Elementary,635.95,633.2,638.7,21.12796,10.676,72.3208,4458,211,22.2222,445,0.0998205,5098.627,36.02512
84,65862,Merced,Weaver Union Elementary,636.1,633.9,638.3,17.48801,9.972,73.5976,1313,75.08,32.0868,112,0.0853008,5652.879,34.65347
85,62356,Fresno,Pacific Union Elementary,636.5,634.7,638.3,17.88679,8.258,75.7384,474,26.5,21.519,36,0.0759494,5329.002,28.69198
86,75051,San Bernardino,Lucerne Valley Unified,636.6,645.4,627.8,19.30676,8.896,62.2128,1114,57.7,29.4468,277,0.2486535,5929.809,1.795332
87,67231,Riverside,Romoland Elementary,636.7,632.3,641.1,20.89231,12.062,80.8683,1358,65,14.7903,178,0.1310751,4897.068,30.63329
88,64501,Los Angeles,El Monte City Elementary,636.9,632.4,641.4,21.28684,9.428895,83.8737,11629,546.3,25.3794,1015,0.0872818,5100.202,59.03345
89,63503,Kern,Greenfield Union Elementary,636.95,636.2,637.7,20.1956,8.920333,68.5719,6195,306.75,21.0433,1261,0.2035512,4825.723,13.55932
90,72033,Tulare,Palo Verde Union Elementary,637,636.1,637.9,24.95,10.098,80.9249,499,20,23.6994,35,0.0701403,4079.129,5.01002
91,67322,Sacramento,Elverta Joint Elementary,637.1,638,636.2,18.13043,11.83,46.0432,417,23,19.9041,27,0.0647482,5349.368,0.9592326
92,64048,Lake,Lucerne Elementary,637.35,640.9,633.8,20,11.553,72.1854,300,15,48.3444,55,0.1833333,5869.389,0.6666667
93,69542,Santa Clara,Luther Burbank Elementary,637.65,644.9,630.4,18.72951,19.707,67.713,457,24.4,16.8161,50,0.1094092,6462.128,38.51204
94,61382,Butte,Bangor Union Elementary,637.95,646.1,629.8,18.25,7.105,54.1096,146,8,25.3425,34,0.2328767,6231.602,0
95,68858,San Mateo,Bayshore Elementary,637.95,633.2,642.7,18.99257,13.725,66.9492,460,24.22,10.5932,71,0.1543478,4993.868,17.17391
96,72017,Tulare,Oak Valley Union Elementary,638,636.7,639.3,19.88764,10.098,59.7222,354,17.8,10.2778,28,0.079096,4663.811,9.887006
97,65151,Los Angeles,Wilsona Elementary,638.2,640.4,636,19.37895,13.762,64.7474,1841,95,25.258,315,0.1711027,6107.106,19.39164
98,63073,Imperial,Brawley Elementary,638.3,636.2,640.4,20.46259,9.665,65.7961,3760,183.75,26.9016,717,0.1906915,5324.228,36.48936
99,63198,Imperial,Meadows Union Elementary,638.3,630.4,646.2,22.29157,10.264,83,500,22.43,18.8,70,0.14,5221.461,39.4
100,64717,Los Angeles,Little Lake City Elementary,638.35,638.6,638.1,20.70474,11.5692,59.7235,5112,246.9,10.6912,383,0.0749217,5157.785,28.67762
101,63719,Kern,Pond Union Elementary,638.55,637.5,639.6,19.06005,7.405,66.4384,146,7.66,13.6986,28,0.1917808,5131.119,13.69863
102,63800,Kern,Taft City Elementary,638.7,636.9,640.5,20.23247,12.077,65.3828,2141,105.82,26.4965,134,0.0625876,5279.354,11.34984
103,71357,Sutter,Brittan Elementary,639.25,640.3,638.2,19.69012,11.283,56.0656,610,30.98,8.5246,144,0.2360656,4704.044,3.442623
104,65557,Mendocino,Arena Union Elementary,639.3,642.7,635.9,20.36254,10.035,60.1329,337,16.55,21.2625,26,0.0771513,6089.911,15.43027
105,67587,San Bernardino,Adelanto Elementary,639.35,639.9,638.8,19.75422,8.384,63.9055,4501,227.85,19.1297,597,0.1326372,5356.833,17.97378
106,67470,San Benito,Hollister School District,639.5,641.4,637.6,19.37977,13.63,37.0456,5718,295.05,6.8407,313,0.0547394,5144.549,22.71773
107,64857,Los Angeles,Palmdale Elementary,639.75,641.7,637.8,22.92351,14.12767,51.2421,19402,846.38,20.5237,1182,0.0609216,4906.23,18.43624
108,61507,Butte,Oroville City Elementary,639.8,641.5,638.1,19.3734,11.26612,74.2723,3401,175.55,52.2199,560,0.1646575,5489.589,16.17171
109,63792,Kern,Standard Elementary,639.85,641.4,638.3,19.15516,13.39,64.0977,2621,136.83,25.8298,397,0.1514689,5718.551,2.022129
110,72447,Ventura,Briggs Elementary,639.9,634.3,645.5,21.3,11.938,64.7887,426,20,3.9906,87,0.2042253,4436.153,9.624413
111,62323,Fresno,Monroe Elementary,640.1,643.5,636.7,18.30357,8.258,80.9756,205,11.2,18.5366,24,0.1170732,4895.439,41.46341
112,64667,Los Angeles,Lancaster Elementary,640.15,640.4,639.9,21.07926,14.22673,56.2994,13668,648.41,28.1753,1321,0.0966491,5159.219,9.899035
113,65177,Madera,Alview-Dairyland Union Elementary,640.5,637.7,643.3,18.79121,10.472,68.0912,342,18.2,11.396,98,0.2865497,5490.655,16.08187
114,66589,Orange,Magnolia Elementary,640.75,638.5,643,19.62662,14.2429,71.0238,6518,332.1,12.2791,499,0.0765572,5172.02,43.49494
115,71985,Tulare,Liberty Elementary,640.9,644.9,636.9,19.59016,14.066,69.6203,239,12.2,15.6118,30,0.125523,4441.673,8.786611
116,69617,Santa Clara,Mt. Pleasant Elementary,641.1,640.4,641.8,20.87187,15.968,52.9735,2911,139.47,11.9285,281,0.0965304,5220.37,39.02439
117,63123,Imperial,El Centro Elementary,641.45,639.3,643.6,21.115,10.264,71.7624,6272,297.04,28.72,1338,0.2133291,5252.811,53.8903
118,68395,San Diego,South Bay Union Elementary,641.45,638.6,644.3,20.08452,10.60247,70.8064,10218,508.75,17.4202,1435,0.1404384,5518.702,41.13329
119,69914,Shasta,Cascade Union Elementary,641.55,640.8,642.3,19.91049,10.523,75.5043,1735,87.14,47.2622,222,0.1279539,5609.488,1.383285
120,71969,Tulare,Kings River Union Elementary,641.8,638.9,644.7,17.81285,11.238,82.0675,474,26.61,20.6751,96,0.2025317,4945.032,35.44304
121,71548,Tehama,Gerber Union Elementary,642.2,641.8,642.6,18.13333,10.056,74.8624,544,30,20.5505,145,0.2665441,5223.025,8.639706
122,71910,Tulare,Exeter Union Elementary,642.2,637,647.4,19.22221,11.183,54.6541,1987,103.37,15.2812,283,0.1424258,4757.025,15.34977
123,62000,Fresno,American Union Elementary,642.4,640.2,644.6,18.66072,7.385,63.4328,418,22.4,10.6965,50,0.1196172,5522.162,19.85646
124,66167,Monterey,San Antonio Union Elementary,642.75,652.6,632.9,19.6,13.579,47.1503,196,10,19.6891,40,0.2040816,6087.609,3.061224
125,71837,Tulare,Burton Elementary,643.05,642,644.1,19.28384,9.63,53.2106,2208,114.5,14.414,92,0.0416667,4960.516,9.873188
126,67157,Riverside,Nuview Union Elementary,643.2,642.6,643.8,22.81818,15.274,44.2597,1255,55,11.3222,165,0.1314741,4880.041,16.09562
127,70615,Sonoma,Bellevue Union Elementary,643.25,639.4,647.1,18.80922,14.03425,80.2587,1469,78.1,20.9666,65,0.0442478,6538.418,43.49898
128,64550,Los Angeles,Garvey Elementary,643.4,638.9,647.9,21.37363,10.23967,82.5722,7114,332.84,34.5942,680,0.0955862,4925.66,45.03795
129,71498,Tehama,Corning Union Elementary,643.4,641.7,645.1,20.02041,9.485,67.7518,1962,98,24.4151,170,0.0866463,5204.688,18.19572
130,68916,San Mateo,Jefferson Elementary,643.5,644.2,642.8,21.49862,15.02987,44.4766,7761,361,6.4912,658,0.0847829,4907.411,15.48769
131,70185,Siskiyou,Big Springs Union Elementary,643.5,652.7,634.3,15.42857,9.781,48.8789,216,14,9.417,47,0.2175926,5923.452,0.9259259
132,63487,Kern,General Shafter Elementary,643.7,633.6,653.8,22.4,13.192,58.0357,224,10,7.1429,31,0.1383929,4741.957,7.589286
133,71308,Stanislaus,Turlock Joint Elementary,643.7,645.7,641.7,20.12709,12.216,57.0722,7887,391.86,16.4024,1004,0.1272981,4954.02,29.08584
134,72421,Tuolumne,Twain Harte-Long Barn Union Elementary,644.2,652.3,636.1,19.03798,14.076,34.0789,752,39.5,11.7105,0,0,5500.108,0.1329787
135,69005,San Mateo,Redwood City Elementary,644.2,644.5,643.9,17.34216,25.48733,39.0368,9328,537.88,7.4875,1719,0.1842839,5360.517,50.85763
136,61846,El Dorado,Camino Union Elementary,644.4,652.1,636.7,17.01863,14.867,31.3869,548,32.2,7.6642,35,0.0638686,5685.639,11.49635
137,65813,Merced,Plainsburg Union Elementary,644.45,649.5,639.4,20.8,9.972,49.5238,104,5,32.381,19,0.1826923,5594.196,13.46154
138,68486,San Joaquin,Banta Elementary,644.45,643.2,645.7,21.15385,14.578,45.8182,275,13,12.7273,4,0.0145455,4692.567,4.727273
139,62513,Fresno,Washington Colony Elementary,644.5,644.3,644.7,18.45833,7.385,69.9774,443,24,14.2212,52,0.1173815,5085.406,21.44469
140,67405,Sacramento,Rio Linda Union Elementary,644.55,646,643.1,19.14082,12.343,58.5454,10337,540.05,37.2269,1268,0.1226662,5456.197,12.35368
141,71050,Stanislaus,Chatom Union Elementary,644.7,645.3,644.1,19.40766,12.43133,56.6751,806,41.53,7.1788,36,0.044665,5105.18,30.14888
142,73726,Merced,Merced River Union Elementary,644.95,649.7,640.2,19.56896,14.906,59.0308,227,11.6,18.0617,25,0.1101322,5519.677,15.85903
143,72462,Ventura,Hueneme Elementary,645.1,642.9,647.3,21.5012,12.6699,71.9121,8416,391.42,12.399,1333,0.1583888,5065.911,43.75
144,62737,Humboldt,Cuddeback Union Elementary,645.25,656.8,633.7,17.52941,10.333,59.0604,149,8.5,19.4631,30,0.2013423,5182.428,0
145,62703,Humboldt,Blue Lake Union Elementary,645.55,658,633.1,16.43017,11.972,52.1739,220,13.39,19.1304,48,0.2181818,5960.464,0
146,68205,San Diego,Lemon Grove Elementary,645.55,647.7,643.4,19.79654,12.827,65.915,4612,232.97,17.4761,601,0.1303122,5124.836,16.65221
147,64063,Lake,Upper Lake Union Elementary,645.6,644.8,646.4,17.18613,10.04,70.6577,590,34.33,37.4368,71,0.120339,5655.133,3.220339
148,62984,Humboldt,Peninsula Union Elementary,645.75,644.3,647.2,17.61589,13.335,72.1429,133,7.55,25,25,0.1879699,5811.69,0
149,72512,Ventura,Ocean View Elementary,645.75,645.5,646,20.12537,9.854,47.0299,2440,121.24,7.2759,116,0.047541,5467.674,48.52459
150,71647,Tehama,Reeds Creek Elementary,646,652.5,639.5,22.16667,11.426,35.8209,133,6,11.194,0,0,5213.089,0.7518797
151,67280,Sacramento,Arcohe Union Elementary,646.2,650.9,641.5,19.96154,15.131,37.9576,519,26,16.763,65,0.1252408,4613.188,1.926782
152,68627,San Joaquin,New Jerusalem Elementary,646.35,643,649.7,19.03945,14.578,40.625,222,11.66,7.5893,30,0.1351351,4886.984,13.51351
153,70243,Siskiyou,Dunsmuir Elementary,646.4,641.6,651.2,15.22436,10.268,76.2774,285,18.72,26.6423,36,0.1263158,6455.137,0
154,71282,Stanislaus,Stanislaus Union Elementary,646.5,647.8,645.2,21.14475,15.59286,55.7901,3129,147.98,26.1676,471,0.1505273,5125.433,16.71461
155,62240,Fresno,Kingsburg Joint Union Elementary,646.55,649.1,644,19.6439,11.238,40.5646,2019,102.78,10.2526,167,0.0827142,5193.692,5.943536
156,66456,Orange,Buena Park Elementary,646.7,644,649.4,21.04869,15.05138,55.0939,5620,267,10.3095,316,0.0562278,5002.839,36.17438
157,66746,Orange,Westminster Elementary,646.9,645.6,648.2,20.17544,15.41318,62.5039,9775,484.5,13.043,1218,0.1246036,5337.625,44.97187
158,63933,Kings,Island Union Elementary,646.95,647.8,646.1,21.3913,11.081,43.9024,246,11.5,9.7561,38,0.1544715,5161.202,16.66667
159,72231,Tulare,Tulare City Elementary,647.05,642.5,651.6,20.00833,10.098,68.8579,7210,360.35,26.6268,800,0.110957,5158.792,15.18724
160,68023,San Diego,Chula Vista Elementary,647.25,645,649.5,20.29137,14.2983,45.995,21338,1051.58,13.2272,2889,0.1353923,5123.474,34.3378
161,69880,Shasta,Black Butte Union Elementary,647.3,650.8,643.8,17.66667,11.803,59.5388,477,27,25.3669,27,0.0566038,5782.544,0
162,65763,Merced,McSwain Union Elementary,647.6,649.4,645.8,18.22055,9.972,32.1871,727,39.9,10.1788,50,0.0687758,4842.608,13.0674
163,71381,Sutter,Franklin Elementary,647.6,651.6,643.6,20.271,15.409,7.4866,374,18.45,6.6845,46,0.1229947,4219.406,4.278075
164,68098,San Diego,Escondido Union Elementary,648,645,651,20.19895,15.2938,58.5331,18255,903.76,11.2217,2001,0.1096138,5081.17,39.59463
165,64485,Los Angeles,East Whittier City Elementary,648.2,648,648.4,21.38424,15.53293,32.483,8787,410.91,10.0227,1058,0.1204051,5144.994,21.66837
166,73544,Kern,Rio Bravo-Greeley Union Elementary,648.25,648.8,647.7,20.97368,16.293,35.7591,797,38,7.0263,60,0.0752823,4674.299,3.262233
167,71407,Sutter,Marcum-Illinois Union Elementary,648.35,651.6,645.1,20,12.875,39.2857,140,7,3.5714,40,0.2857143,4830.326,7.857143
168,68437,San Diego,Vallecitos Elementary,648.7,643.4,654,17.15328,16.623,67.234,235,13.7,6.8085,51,0.2170213,5621.688,39.57447
169,67918,San Bernardino,Victor Elementary,648.95,645.1,652.8,22.34977,12.54988,51.5674,8294,371.1,23.1975,1295,0.156137,4948.868,10.1278
170,66696,Orange,Savanna Elementary,649.15,646,652.3,22.17007,14.25857,52.1202,2409,108.66,8.1515,354,0.1469489,5100.976,27.52179
171,71001,Sonoma,West Side Union Elementary,649.3,655.2,643.4,18.18182,18.326,23.2258,150,8.25,3.2258,16,0.1066667,5132.789,14
172,69971,Shasta,Enterprise Elementary,649.5,649.8,649.2,18.95714,12.74914,51.7709,3981,210,41.7734,606,0.1522231,5358.517,8.842
173,71621,Tehama,Red Bluff Union Elementary,649.7,651.3,648.1,19.74533,11.426,52.2523,2326,117.8,17.9751,345,0.1483233,5149.187,6.405847
174,72363,Tuolumne,Jamestown Elementary,649.85,652.6,647.1,16.42623,8.83,54.7619,501,30.5,20.6349,163,0.3253493,5373.207,2.39521
175,70482,Siskiyou,Weed Union Elementary,650.45,655.1,645.8,16.6254,11.176,89.6996,470,28.27,31.3305,48,0.1021277,6485.166,5.957447
176,63032,Humboldt,South Bay Union Elementary,650.55,654.6,646.5,16.38177,14.228,59.1304,575,35.1,26.4348,59,0.1026087,5504.025,8.173913
177,61655,Contra Costa,Brentwood Union Elementary,650.6,655.4,645.8,20.07416,15.027,29.7812,3519,175.3,5.5413,789,0.2242114,5105.734,15.45894
178,72405,Tuolumne,Summerville Elementary,650.65,653.6,647.7,17.99544,10.521,54.9898,474,26.34,21.9959,61,0.128692,5634.731,0
179,66860,Placer,Ophir Elementary,650.9,651.8,650,19.3913,18.626,17.5439,223,11.5,1.7544,60,0.2690583,4980.294,0
180,70821,Sonoma,Montgomery Elementary,650.9,656.1,645.7,16.42857,22.529,0,92,5.6,13.5417,22,0.2391304,6113.86,0
181,70912,Sonoma,Santa Rosa Elementary,651.15,653.3,649,16.72949,18.29839,55.1008,4971,297.14,14.7094,500,0.1005834,5850,31.82458
182,71266,Stanislaus,Salida Union Elementary,651.2,651.7,650.7,24.41345,11.88575,32.3697,2617,107.195,8.3682,226,0.0863584,4547.945,12.80092
183,70128,Shasta,Shasta Union Elementary,651.35,654.4,648.3,18.26415,9.926,51.6529,242,13.25,28.0992,32,0.1322314,5011.84,0
184,62802,Humboldt,Fortuna Union Elementary,651.4,662,640.8,18.95504,14.197,50.7634,780,41.15,16.5394,75,0.0961538,5261.371,3.846154
